Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
11,2017-03,2.712,1.392
11,2017-04,7.333,0.092
11,2017-05,4.861,1.339
11,2017-06,343.037,0.019
11,2017-07,5.216,0.053
11,2017-08,5711.473,0.017
11,2017-09,52.904,0.017
11,2017-10,0.0,0.0
11,2017-11,228.398,0.016
11,2017-12,848.796,0.018
11,2018-01,0.0,0.0
11,2018-02,0.0,0.0
11,2018-03,8.283,2.59
11,2018-04,105.605,0.033
11,2018-05,310.742,0.019
11,2018-06,347.375,0.02
11,2018-07,652.625,0.02
11,2018-08,1.993,0.044
11,2018-09,2720.532,0.019
11,2018-10,0.879,0.405
11,2018-11,1.911,2.148
11,2018-12,97.553,0.036
11,2019-01,6.421,0.244
11,2019-02,0.0,0.0
11,2019-03,0.0,0.0
11,2019-04,26.859,1.279
11,2019-05,1.254,0.636
11,2019-06,5.607,1.555
11,2019-07,712.288,0.023
11,2019-08,161.279,0.022
11,2019-09,18.885,0.029
11,2019-10,68.627,0.021
11,2019-11,1.272,0.069
11,2019-12,3.229,0.311
11,2020-01,50.095,0.025
11,2020-02,0.0,0.0
11,2020-03,0.0,0.0
11,2020-04,28.505,0.027
11,2020-05,29.967,0.028
11,2020-06,334.671,0.023
11,2020-07,172.968,0.024
11,2020-08,20.839,0.008
11,2020-09,81.793,0.027
